"Category","Total dairy cattle","Total beef cattle"
2002,5162000,4491000
2003,5102000,4627000
2004,5152000,4447000
2005,5087000,4424000
2006,5170000,4439000
2007,5261000,4394000
2008,5578000,4137000
2009,5861000,4101000
2010,5915000,3949000
2011,6175000,3846000
2012,6446000,3734000
2013,6484000,3699000
2014,6698000,3670000
2015,6486000,3547000
2016,6619000,3533000
2017,6530000,3616000
2018,6386000,3721000
2019,6261000,3890000
2020,6200000,3883000
2021,6185000,3965000
2022,5930000,3821000
2023,5885000,3654000
2024,5837000,3679000